activation:,agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,<function relu at 0x7fe9410cacb0>,0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
"Episode:,Score:,Average Score:,Epsilon:"
513,232.66,163.2,0.01
514,249.03,166.54,0.01
515,224.29,166.33,0.01
516,198.41,165.75,0.01
517,189.46,164.92,0.01
518,225.54,164.39,0.01
519,263.79,164.58,0.01
520,232.75,164.3,0.01
521,259.21,165.74,0.01
522,260.34,165.82,0.01
523,249.35,166.22,0.01
524,259.04,166.68,0.01
525,254.78,167.14,0.01
526,-151.98,163.29,0.01
527,-31.07,160.3,0.01
528,-58.31,157.09,0.01
529,-67.68,156.25,0.01
530,287.78,156.81,0.01
531,259.92,156.88,0.01
532,-188.07,152.85,0.01
533,265.21,153.06,0.01
534,220.5,153.07,0.01
535,224.46,152.25,0.01
536,248.41,155.88,0.01
537,220.98,155.57,0.01
538,227.76,155.51,0.01
539,-91.23,151.99,0.01
540,251.31,154.69,0.01
541,-199.57,150.12,0.01
542,-31.58,147.05,0.01
543,205.94,146.76,0.01
544,-192.78,142.46,0.01
545,-170.02,138.26,0.01
546,-3.49,135.79,0.01
547,-124.15,131.89,0.01
548,-253.25,127.16,0.01
549,250.45,127.74,0.01
550,120.45,126.84,0.01
551,-203.7,122.34,0.01
552,202.59,125.91,0.01
553,218.06,126.63,0.01
554,242.7,127.55,0.01
555,220.17,127.55,0.01
556,252.77,127.55,0.01
557,248.5,130.49,0.01
558,-87.54,127.57,0.01
559,242.89,130.92,0.01
560,217.41,134.68,0.01
561,259.36,135.27,0.01
562,242.92,135.24,0.01
563,-106.63,132.05,0.01
564,235.07,132.62,0.01
565,123.45,131.54,0.01
566,166.45,134.3,0.01
567,216.33,134.02,0.01
568,19.46,131.71,0.01
569,225.46,131.89,0.01
570,148.49,133.73,0.01
571,183.11,137.27,0.01
572,-6.76,138.96,0.01
573,220.68,142.94,0.01
574,229.58,147.46,0.01
575,-193.08,143.36,0.01
576,166.0,146.54,0.01
577,155.59,145.47,0.01
578,-545.2,141.7,0.01
579,222.35,141.56,0.01
580,238.45,141.19,0.01
581,216.85,141.18,0.01
582,243.5,141.4,0.01
583,247.81,141.45,0.01
584,124.78,142.78,0.01
585,144.12,141.55,0.01
586,168.3,143.68,0.01
587,209.03,143.94,0.01
588,201.87,143.35,0.01
589,260.76,143.13,0.01
590,146.23,142.4,0.01
591,227.97,142.34,0.01
592,233.11,142.18,0.01
593,177.95,141.19,0.01
594,191.84,140.85,0.01
595,286.49,141.31,0.01
596,275.0,141.63,0.01
597,232.31,141.18,0.01
598,221.69,140.8,0.01
599,263.21,140.62,0.01
600,245.81,141.02,0.01
601,260.42,141.18,0.01
602,237.76,141.03,0.01
603,35.43,139.22,0.01
604,187.74,139.06,0.01
605,261.27,141.93,0.01
606,217.21,142.76,0.01
607,254.36,143.04,0.01
608,241.72,142.73,0.01
609,238.09,148.02,0.01
610,287.18,148.44,0.01
611,-6.94,146.12,0.01
612,260.34,148.67,0.01
613,276.46,149.11,0.01
614,268.64,149.3,0.01
615,267.97,149.74,0.01
616,217.67,149.93,0.01
617,-22.02,147.82,0.01
618,291.9,148.48,0.01
619,23.12,146.07,0.01
620,3.22,143.78,0.01
621,262.21,143.81,0.01
622,197.81,143.18,0.01
623,-24.52,140.44,0.01
624,231.88,140.17,0.01
625,241.35,140.04,0.01
626,223.23,143.79,0.01
627,219.91,146.3,0.01
628,271.89,149.6,0.01
629,202.07,152.3,0.01
630,280.61,152.23,0.01
631,287.72,152.51,0.01
632,195.77,156.34,0.01
633,259.18,156.28,0.01
634,231.88,156.4,0.01
635,235.96,156.51,0.01
636,252.86,156.56,0.01
637,232.69,156.67,0.01
638,282.9,157.23,0.01
639,262.18,160.76,0.01
640,268.59,160.93,0.01
641,267.21,165.6,0.01
642,255.45,168.47,0.01
643,223.7,168.65,0.01
644,251.87,173.09,0.01
645,276.96,177.56,0.01
646,209.82,179.7,0.01
647,279.77,183.74,0.01
648,-65.1,185.62,0.01
649,245.29,185.57,0.01
650,242.81,186.79,0.01
651,264.48,191.47,0.01
652,242.27,191.87,0.01
653,272.63,192.41,0.01
654,217.61,192.16,0.01
655,259.26,192.55,0.01
656,229.04,192.32,0.01
657,266.63,192.5,0.01
658,237.05,195.74,0.01
659,237.53,195.69,0.01
660,246.73,195.98,0.01
661,1.0,193.4,0.01
662,195.84,192.93,0.01
663,261.01,196.61,0.01
664,289.13,197.15,0.01
665,253.15,198.44,0.01
666,-70.54,196.07,0.01
667,247.1,196.38,0.01
668,288.24,199.07,0.01
669,261.1,199.43,0.01
670,239.35,200.33,0.01
671,224.44,200.75,0.01
672,222.03,203.04,0.01
673,261.64,203.45,0.01
674,229.99,203.45,0.01
675,-8.9,205.29,0.01
676,249.94,206.13,0.01
677,217.8,206.75,0.01
678,193.29,214.14,0.01
679,-53.47,211.38,0.01
680,222.48,211.22,0.01
681,245.15,211.5,0.01
682,215.95,211.23,0.01
683,291.47,211.66,0.01
684,243.9,212.85,0.01
685,274.59,214.16,0.01
686,283.19,215.31,0.01
687,-256.17,210.66,0.01
688,292.46,211.56,0.01
689,257.02,211.52,0.01
690,239.73,212.46,0.01
691,-19.37,209.99,0.01
692,206.01,209.72,0.01
693,263.75,210.57,0.01
694,198.88,210.64,0.01
695,233.76,210.12,0.01
696,265.22,210.02,0.01
697,254.51,210.24,0.01
698,245.33,210.48,0.01
699,274.69,210.59,0.01
700,250.44,210.64,0.01
701,234.61,210.38,0.01
702,253.7,210.54,0.01
703,307.82,213.26,0.01
704,262.2,214.01,0.01
705,264.4,214.04,0.01
706,269.91,214.57,0.01
707,273.72,214.76,0.01
708,-414.5,208.2,0.01
709,282.51,208.64,0.01
710,249.25,208.26,0.01
711,-0.9,208.32,0.01
712,-135.36,204.37,0.01
713,-12.79,201.47,0.01
714,-30.57,198.48,0.01
715,277.59,198.58,0.01
716,262.72,199.03,0.01
717,252.37,201.77,0.01
718,263.45,201.49,0.01
719,240.17,203.66,0.01
720,237.74,206.0,0.01
721,247.7,205.86,0.01
722,301.33,206.89,0.01
723,242.31,209.56,0.01
724,257.98,209.82,0.01
725,236.03,209.77,0.01
