activation:,agent params:,gamma,epsilon,batch_size,n_actions,eps_end,input_dims,lr,seed
,FTA(),0.99,1.0,4,0.01,8,0.0003,0
Performance logging begins:
"Episode:,Score:,Average Score:,Epsilon:"
820,301.28,170.83,0.01
821,277.41,171.35,0.01
822,243.96,173.23,0.01
823,268.33,173.31,0.01
824,6.43,170.9,0.01
825,224.94,173.19,0.01
826,246.07,172.97,0.01
827,60.81,170.98,0.01
828,-4.75,168.63,0.01
829,259.5,171.82,0.01
830,245.84,173.75,0.01
831,240.1,176.23,0.01
832,-8.58,173.56,0.01
833,255.06,173.67,0.01
834,-16.7,170.8,0.01
835,263.5,170.73,0.01
836,238.63,173.03,0.01
837,261.21,173.99,0.01
838,273.8,177.38,0.01
839,-144.12,174.08,0.01
840,284.11,174.78,0.01
841,250.04,174.52,0.01
842,-278.43,169.36,0.01
843,286.61,169.53,0.01
844,290.21,169.83,0.01
845,260.33,172.74,0.01
846,246.99,175.23,0.01
847,274.01,175.47,0.01
848,254.12,178.11,0.01
849,-14.71,177.39,0.01
850,264.16,177.88,0.01
851,286.56,180.95,0.01
852,245.23,185.48,0.01
853,289.44,185.7,0.01
854,-21.58,182.45,0.01
855,239.13,182.16,0.01
856,177.72,184.14,0.01
857,265.56,187.98,0.01
858,287.43,193.0,0.01
859,310.89,193.31,0.01
860,253.88,193.23,0.01
861,290.73,193.28,0.01
862,274.7,195.84,0.01
863,294.56,196.02,0.01
864,270.6,195.88,0.01
865,271.01,196.11,0.01
866,268.72,195.9,0.01
867,259.23,196.23,0.01
868,195.21,195.23,0.01
869,300.61,195.95,0.01
870,255.15,196.57,0.01
871,-116.61,192.77,0.01
872,229.46,195.59,0.01
873,255.34,198.78,0.01
874,251.76,202.16,0.01
875,266.63,202.28,0.01
876,274.77,202.7,0.01
877,261.56,206.54,0.01
878,295.09,206.74,0.01
879,255.11,207.42,0.01
880,283.88,207.5,0.01
881,256.66,210.04,0.01
882,251.16,210.23,0.01
883,-8.34,207.7,0.01
884,284.46,207.99,0.01
885,242.5,208.11,0.01
886,290.46,208.39,0.01
887,-184.17,203.67,0.01
888,-162.06,200.71,0.01
889,269.97,200.93,0.01
890,10.93,200.69,0.01
891,275.74,200.58,0.01
892,315.96,201.5,0.01
893,232.95,201.59,0.01
894,253.47,202.32,0.01
895,239.78,202.04,0.01
896,274.3,205.17,0.01
897,221.31,204.74,0.01
898,224.84,204.57,0.01
899,299.86,207.37,0.01
900,142.16,206.03,0.01
901,257.56,209.28,0.01
902,250.34,209.21,0.01
903,263.18,209.48,0.01
904,159.91,208.46,0.01
905,-11.4,205.62,0.01
906,271.53,205.25,0.01
907,193.5,206.68,0.01
908,216.68,208.59,0.01
909,301.98,208.79,0.01
910,245.2,208.75,0.01
911,245.74,208.41,0.01
912,263.71,208.06,0.01
913,265.63,208.27,0.01
914,275.28,208.44,0.01
915,309.02,209.09,0.01
